carcass_id,carcass_type,carcass_taxon,tissue_type,tissue_replication,block_id,wet_mass,water_mass,dry_mass,protein_mass,fat_mass,total_mass,prop_protein
1,wild,bird,muscle,1,1,0.1017,0.0617,0.04,0.0341,0.098777046,0.1063,0.320790216
1,wild,bird,muscle,2,1,0.0853,0.0597,0.0256,0.0246,0.012880562,0.0854,0.288056206
1,wild,bird,muscle,3,1,0.1253,0.0393,0.086,0.043,0.420830401,0.1421,0.3026038
1,wild,bird,viscera,1,1,0.0949,0.058,0.0369,0.0282,0.113168724,0.0972,0.290123457
1,wild,bird,viscera,2,1,0.1255,0.0396,0.0859,0.0438,0.435341909,0.1477,0.296547055
1,wild,bird,viscera,3,1,0.1413,0.0975,0.0438,0.0424,0.025087108,0.1435,0.295470383
2,wild,bird,muscle,1,1,0.1057,0.0763,0.0294,0.0285,0.010387158,0.1059,0.269121813
2,wild,bird,muscle,2,1,0.1144,0.08,0.0344,0.034,0.003496503,0.1144,0.297202797
2,wild,bird,muscle,3,1,0.1021,0.0728,0.0293,0.0293,0,0.1021,0.286973555
2,wild,bird,viscera,1,1,0.1151,0.0784,0.0367,0.0367,0.006044905,0.1158,0.316925734
2,wild,bird,viscera,2,1,0.1342,0.0919,0.0423,0.0423,0.009594096,0.1355,0.312177122
2,wild,bird,viscera,3,1,0.1472,0.1031,0.0441,0.0441,0.010752688,0.1488,0.296370968
3,wild,bird,muscle,1,1,0.1072,0.0774,0.0298,0.0244,0.051258155,0.1073,0.227399814
3,wild,bird,muscle,2,1,0.1011,0.0724,0.0287,0.0287,0.008823529,0.102,0.281372549
3,wild,bird,muscle,3,1,0.1062,0.0772,0.029,0.029,0.001879699,0.1064,0.272556391
3,wild,bird,viscera,1,1,0.111,0.0784,0.0326,0.032,0.007194245,0.1112,0.287769784
3,wild,bird,viscera,2,1,0.1092,0.0832,0.026,0.025,0.011872146,0.1095,0.228310502
3,wild,bird,viscera,3,1,0.0861,0.0608,0.0253,0.0253,0.005773672,0.0866,0.292147806
4,wild,reptile,muscle,1,1,0.0972,0.0701,0.0271,0.0271,0.001027749,0.0973,0.278520041
4,wild,reptile,muscle,2,1,0.1125,0.0806,0.0319,0.0319,0,0.1125,0.283555556
4,wild,reptile,muscle,3,1,0.1066,0.0767,0.0299,0.0299,0,0.1066,0.280487805
4,wild,reptile,viscera,1,1,0.143,0.1113,0.0317,0.0317,0.006254343,0.1439,0.220291869
4,wild,reptile,viscera,2,1,0.0839,0.0627,0.0212,0.0212,0,0.0839,0.252681764
4,wild,reptile,viscera,3,1,0.128,0.0978,0.0302,0.0263,0.046850998,0.1302,0.201996928
5,wild,reptile,muscle,1,1,0.109,0.0825,0.0265,0.0261,0.003669725,0.109,0.239449541
5,wild,reptile,muscle,2,1,0.1296,0.0959,0.0337,0.0333,0.006153846,0.13,0.256153846
5,wild,reptile,muscle,3,1,0.0944,0.074,0.0204,0.0202,0.002118644,0.0944,0.213983051
5,wild,reptile,viscera,1,1,0.1371,0.1049,0.0322,0.0315,0.01799856,0.1389,0.226781857
5,wild,reptile,viscera,2,1,0.1615,0.1243,0.0372,0.0365,0.004334365,0.1615,0.226006192
5,wild,reptile,viscera,3,1,0.1605,0.0865,0.074,0.0479,0.257868581,0.1811,0.264494754
6,wild,reptile,muscle,1,1,0.0914,0.0689,0.0225,0.0225,0,0.0914,0.246170678
6,wild,reptile,muscle,2,1,0.0954,0.0709,0.0245,0.0236,0.012539185,0.0957,0.246603971
6,wild,reptile,muscle,3,1,0.1163,0.0887,0.0276,0.0276,0,0.1163,0.237317283
6,wild,reptile,viscera,1,1,0.0874,0.0555,0.0319,0.0188,0.162344983,0.0887,0.211950395
6,wild,reptile,viscera,2,1,0.1347,0.1026,0.0321,0.0289,0.028085735,0.1353,0.213599409
6,wild,reptile,viscera,3,1,0.1383,0.1101,0.0282,0.0273,0.010086455,0.1388,0.196685879
7,wild,mammal,muscle,1,1,0.0888,0.0605,0.0283,0.0273,0.023359288,0.0899,0.303670745
7,wild,mammal,muscle,2,1,0.0831,0.0568,0.0263,0.0261,0.004801921,0.0833,0.31332533
7,wild,mammal,muscle,3,1,0.0951,0.067,0.0281,0.0275,0.009433962,0.0954,0.288259958
7,wild,mammal,viscera,1,1,0.089,0.0612,0.0278,0.0262,0.048966268,0.0919,0.285092492
7,wild,mammal,viscera,2,1,0.1153,0.0833,0.032,0.0282,0.039621016,0.1161,0.242894057
7,wild,mammal,viscera,3,1,0.1039,0.0667,0.0372,0.0356,0.021988528,0.1046,0.340344168
8,wild,mammal,muscle,1,1,0.1213,0.0872,0.0341,0.0331,0.008244023,0.1213,0.272877164
8,wild,mammal,muscle,2,1,0.124,0.0742,0.0498,0.0407,0.106531882,0.1286,0.316485226
8,wild,mammal,muscle,3,1,0.0908,0.0586,0.0322,0.028,0.062770563,0.0924,0.303030303
8,wild,mammal,viscera,1,1,0.0983,0.0669,0.0314,0.0306,0.008138352,0.0983,0.311291963
8,wild,mammal,viscera,2,1,0.14,0.0905,0.0495,0.0412,0.072535211,0.142,0.290140845
8,wild,mammal,viscera,3,1,0.0889,0.0645,0.0244,0.023,0.028856826,0.0901,0.25527192
9,wild,mammal,muscle,1,1,0.0917,0.0657,0.026,0.0254,0.011930586,0.0922,0.275488069
9,wild,mammal,muscle,2,1,0.1225,0.0838,0.0387,0.0378,0.008964955,0.1227,0.30806846
9,wild,mammal,muscle,3,1,0.1145,0.0794,0.0351,0.0351,0.003481288,0.1149,0.305483029
9,wild,mammal,viscera,1,1,0.0907,0.0668,0.0239,0.0236,0.007683864,0.0911,0.259055982
9,wild,mammal,viscera,2,1,0.0901,0.0619,0.0282,0.0266,0.021017699,0.0904,0.294247788
9,wild,mammal,viscera,3,1,0.088,0.064,0.024,0.023,0.025755879,0.0893,0.257558791
10,lab,mammal,muscle,1,1,0.1371,0.0977,0.0394,0.0369,0.019664967,0.1373,0.268754552
10,lab,mammal,muscle,2,1,0.1272,0.0796,0.0476,0.0315,0.153846154,0.1313,0.239908606
10,lab,mammal,muscle,3,1,0.1081,0.082,0.0261,0.0261,0.001846722,0.1083,0.24099723
10,lab,mammal,viscera,1,1,0.1386,0.0863,0.0523,0.039,0.105638829,0.1401,0.278372591
10,lab,mammal,viscera,2,1,0.1378,0.0988,0.039,0.0341,0.047994269,0.1396,0.244269341
10,lab,mammal,viscera,3,1,0.103,0.0435,0.0595,0.0417,0.316760225,0.1247,0.334402566
11,lab,mammal,muscle,1,1,0.1286,0.0947,0.0339,0.0312,0.024786987,0.1291,0.241673122
11,lab,mammal,muscle,2,1,0.1295,0.0986,0.0309,0.0303,0.00616808,0.1297,0.233616037
11,lab,mammal,muscle,3,1,0.1396,0.1025,0.0371,0.0341,0.021489971,0.1396,0.244269341
11,lab,mammal,viscera,1,1,0.0998,0.078,0.0218,0.0218,0.004985045,0.1003,0.217347956
11,lab,mammal,viscera,2,1,0.1119,0.0866,0.0253,0.0253,0.004448399,0.1124,0.225088968
11,lab,mammal,viscera,3,1,0.0883,0.0677,0.0206,0.0196,0.021300448,0.0892,0.219730942
12,lab,mammal,muscle,1,1,0.09,0.0646,0.0254,0.0254,0,0.09,0.282222222
12,lab,mammal,muscle,2,1,0.0936,0.0666,0.027,0.0264,0.006410256,0.0936,0.282051282
12,lab,mammal,muscle,3,1,0.1162,0.0856,0.0306,0.0306,0,0.1162,0.263339071
12,lab,mammal,viscera,1,1,0.0977,0.0721,0.0256,0.0237,0.028397566,0.0986,0.240365112
12,lab,mammal,viscera,2,1,0.0947,0.0737,0.021,0.0198,0.016824395,0.0951,0.208201893
12,lab,mammal,viscera,3,1,0.1037,0.0756,0.0281,0.0253,0.035372849,0.1046,0.241873805
13,wild,bird,muscle,1,2,0.11811,0.0785,0.03961,0.03961,8.47E-05,0.11812,0.335336945
13,wild,bird,muscle,2,2,0.09335,0.0808,0.01255,0.01255,1.07E-04,0.09336,0.134425878
13,wild,bird,muscle,3,2,0.113,0.0773,0.0357,0.0357,0,0.113,0.315929204
13,wild,bird,viscera,1,2,0.1298,0.0958,0.034,0.034,7.70E-04,0.1299,0.2617398
13,wild,bird,viscera,2,2,0.089,0.066,0.023,0.0228,0.005599104,0.0893,0.255319149
13,wild,bird,viscera,3,2,0.1098,0.0487,0.0611,0.0611,0.009025271,0.1108,0.551444043
14,wild,bird,muscle,1,2,0.127,0.0889,0.0381,0.0381,0,0.127,0.3
14,wild,bird,muscle,2,2,0.1276,0.0563,0.0713,0.0713,0.263704559,0.1733,0.411425274
14,wild,bird,muscle,3,2,0.0959,0.0659,0.03,0.03,0.004153686,0.0963,0.31152648
14,wild,bird,viscera,1,2,0.1029,0.068,0.0349,0.0335,0.015518914,0.1031,0.324927255
14,wild,bird,viscera,2,2,0.085,0.0581,0.0269,0.0269,0.013921114,0.0862,0.312064965
14,wild,bird,viscera,3,2,0.0835,0.0581,0.0254,0.0254,0.001196172,0.0836,0.303827751
16,wild,bird,muscle,1,2,0.1164,0.0804,0.036,0.036,0,0.1164,0.309278351
16,wild,bird,muscle,2,2,0.0849,0.0588,0.0261,0.0261,0.001176471,0.085,0.307058824
16,wild,bird,muscle,3,2,0.1235,0.0829,0.0406,0.0406,0,0.1235,0.328744939
16,wild,bird,viscera,1,2,0.0956,0.0616,0.034,0.0327,0.01975052,0.0962,0.33991684
16,wild,bird,viscera,2,2,0.0908,0.0567,0.0341,0.0341,0.004385965,0.0912,0.373903509
16,wild,bird,viscera,3,2,0.089,0.0544,0.0346,0.0346,0,0.089,0.388764045
17,wild,reptile,muscle,1,2,0.1105,0.0804,0.0301,0.0301,0.001806685,0.1107,0.271906052
17,wild,reptile,muscle,2,2,0.125,0.0931,0.0319,0.0319,0,0.125,0.2552
17,wild,reptile,muscle,3,2,0.0878,0.0654,0.0224,0.0224,0.002272727,0.088,0.254545455
17,wild,reptile,viscera,1,2,0.094,0.0731,0.0209,0.0209,0,0.094,0.222340426
17,wild,reptile,viscera,2,2,0.096,0.0756,0.0204,0.0204,0,0.096,0.2125
17,wild,reptile,viscera,3,2,0.1239,0.095,0.0289,0.0266,0.020933977,0.1242,0.214170692
18,wild,reptile,muscle,1,2,0.1089,0.0792,0.0297,0.0297,9.17E-04,0.109,0.272477064
18,wild,reptile,muscle,2,2,0.1101,0.0811,0.029,0.029,0,0.1101,0.263396912
18,wild,reptile,muscle,3,2,0.1229,0.0917,0.0312,0.0312,8.13E-04,0.123,0.253658537
18,wild,reptile,viscera,1,2,0.1289,0.0934,0.0355,0.0331,0.023166023,0.1295,0.255598456
18,wild,reptile,viscera,2,2,0.0808,0.06,0.0208,0.0208,0,0.0808,0.257425743
18,wild,reptile,viscera,3,2,0.1156,0.0669,0.0487,0.0424,0.136650869,0.1266,0.334913112
19,wild,reptile,muscle,1,2,0.0941,0.0698,0.0243,0.0243,0.002120891,0.0943,0.257688229
19,wild,reptile,muscle,2,2,0.1005,0.0749,0.0256,0.0256,0,0.1005,0.254726368
19,wild,reptile,muscle,3,2,0.0905,0.0671,0.0234,0.0234,0.001103753,0.0906,0.258278146
19,wild,reptile,viscera,1,2,0.0929,0.072,0.0209,0.0209,0,0.0929,0.224973089
19,wild,reptile,viscera,2,2,0.0983,0.0793,0.019,0.019,0.004052685,0.0987,0.192502533
19,wild,reptile,viscera,3,2,0.121,0.0962,0.0248,0.0248,0.003294893,0.1214,0.204283361
20,wild,mammal,muscle,1,2,0.0767,0.0524,0.0243,0.0243,0,0.0767,0.316818774
20,wild,mammal,muscle,2,2,0.0889,0.0602,0.0287,0.0287,0,0.0889,0.322834646
20,wild,mammal,muscle,3,2,0.0867,0.0558,0.0309,0.0288,0.026467204,0.0869,0.33141542
20,wild,mammal,viscera,1,2,0.0963,0.0696,0.0267,0.0267,0,0.0963,0.277258567
20,wild,mammal,viscera,2,2,0.0985,0.0671,0.0314,0.0314,0.00605449,0.0991,0.316851665
20,wild,mammal,viscera,3,2,0.0977,0.0649,0.0328,0.0328,0.507808564,0.1985,0.165239295
21,wild,mammal,muscle,1,2,0.0798,0.0593,0.0205,0.0205,0,0.0798,0.256892231
21,wild,mammal,muscle,2,2,0.1036,0.0768,0.0268,0.0268,0,0.1036,0.258687259
21,wild,mammal,muscle,3,2,0.0892,0.0626,0.0266,0.0266,0,0.0892,0.298206278
21,wild,mammal,viscera,1,2,0.0908,0.0688,0.022,0.022,0.013043478,0.092,0.239130435
21,wild,mammal,viscera,2,2,0.1038,0.077,0.0268,0.0268,0,0.1038,0.258188825
21,wild,mammal,viscera,3,2,0.0838,0.0631,0.0207,0.0201,0.011876485,0.0842,0.23871734
22,wild,mammal,muscle,1,2,0.1055,0.0742,0.0313,0.0313,0.001892148,0.1057,0.296121097
22,wild,mammal,muscle,2,2,0.0879,0.0614,0.0265,0.0263,0.004540295,0.0881,0.298524404
22,wild,mammal,muscle,3,2,0.0977,0.0677,0.03,0.03,0,0.0977,0.307062436
22,wild,mammal,viscera,1,2,0.1154,0.0437,0.0717,0.0549,0.215592681,0.1257,0.436754177
22,wild,mammal,viscera,2,2,0.1245,0.0654,0.0591,0.0389,0.187061574,0.1283,0.303195635
22,wild,mammal,viscera,3,2,0.1089,0.0488,0.0601,0.0402,0.208888889,0.1125,0.357333333
23,wild,mammal,muscle,1,2,0.1142,0.0815,0.0327,0.0327,0.003490401,0.1146,0.285340314
23,wild,mammal,muscle,2,2,0.0904,0.0638,0.0266,0.0266,0.003307607,0.0907,0.293274531
23,wild,mammal,muscle,3,2,0.1273,0.091,0.0363,0.0363,7.85E-04,0.1274,0.284929356
23,wild,mammal,viscera,1,2,0.1212,0.0922,0.029,0.0283,0.070932922,0.1297,0.218195837
23,wild,mammal,viscera,2,2,0.1184,0.0861,0.0323,0.0311,0.016778523,0.1192,0.26090604
23,wild,mammal,viscera,3,2,0.0751,0.0562,0.0189,0.0176,0.041558442,0.077,0.228571429
24,lab,mammal,muscle,1,2,0.0829,0.0548,0.0281,0.0239,0.061978546,0.0839,0.284862932
24,lab,mammal,muscle,2,2,0.1369,0.0968,0.0401,0.0367,0.034008683,0.1382,0.265557164
24,lab,mammal,muscle,3,2,0.1073,0.0778,0.0295,0.0284,0.010251631,0.1073,0.264678472
24,lab,mammal,viscera,1,2,0.0732,0.0542,0.019,0.0185,0.013568521,0.0737,0.251017639
24,lab,mammal,viscera,2,2,0.0827,0.0599,0.0228,0.0199,0.040865385,0.0832,0.239182692
24,lab,mammal,viscera,3,2,0.1175,0.0796,0.0379,0.0329,0.058577406,0.1195,0.275313808
25,lab,mammal,muscle,1,2,0.1028,0.0769,0.0259,0.0251,0.007782101,0.1028,0.244163424
25,lab,mammal,muscle,2,2,0.0891,0.0667,0.0224,0.0217,0.007856341,0.0891,0.243546577
25,lab,mammal,muscle,3,2,0.0911,0.0653,0.0258,0.0246,0.013172338,0.0911,0.270032931
25,lab,mammal,viscera,1,2,0.1043,0.0809,0.0234,0.0234,0,0.1043,0.224352828
25,lab,mammal,viscera,2,2,0.0774,0.0502,0.0272,0.019,0.128463476,0.0794,0.23929471
25,lab,mammal,viscera,3,2,0.1212,0.0894,0.0318,0.0309,0.013125513,0.1219,0.253486464
26,lab,mammal,muscle,1,2,0.087,0.0655,0.0215,0.0214,0.001149425,0.087,0.245977011
26,lab,mammal,muscle,2,2,0.0912,0.07,0.0212,0.0212,0,0.0912,0.23245614
26,lab,mammal,muscle,3,2,0.1037,0.0724,0.0313,0.0277,0.034715526,0.1037,0.267116683
26,lab,mammal,viscera,1,2,0.0829,0.0445,0.0384,0.0286,0.148018648,0.0858,0.333333333
26,lab,mammal,viscera,2,2,0.0921,0.0643,0.0278,0.0234,0.054956897,0.0928,0.252155172
26,lab,mammal,viscera,3,2,0.0884,0.0681,0.0203,0.0197,0.007909605,0.0885,0.22259887
27,lab,mammal,muscle,1,2,0.1006,0.0766,0.024,0.024,0,0.1006,0.238568588
27,lab,mammal,muscle,2,2,0.0892,0.0657,0.0235,0.0235,0,0.0892,0.263452915
27,lab,mammal,muscle,3,2,0.1169,0.0821,0.0348,0.0307,0.038363171,0.1173,0.26172208
27,lab,mammal,viscera,1,2,0.0802,0.0457,0.0345,0.0239,0.158403869,0.0827,0.288996372
27,lab,mammal,viscera,2,2,0.0964,0.072,0.0244,0.0244,0.01026694,0.0974,0.250513347
27,lab,mammal,viscera,3,2,0.0904,0.0656,0.0248,0.0248,0.001104972,0.0905,0.274033149
